Age,Groups,Sex,Ethnicity,Level_Education,Income,FamiliarityBrands,Check_Ingredients,Check_nutricontent,Rtime,Children,Responsable,Loseweight,Weight,Height,Purchase12months,Consent,Having information,Cereal healthiness1,Cereal healthiness2,Cereal healthiness3,Cereal healthiness4,Cereal healthiness5,Cereal healthiness6,Cereal healthiness7,Cereal healthiness8,nBack1FA,nBack1MISS,nBack2FA,nBack2MISS,nBack3FA,nBack3MISS,"If these were your only breakfast cereal options, which one would you choose to buy?...35","If these were your only breakfast cereal options, which one would you choose to buy?...36","If these were your only breakfast cereal options, which one would you choose to buy?...37","If these were your only breakfast cereal options, which one would you choose to buy?...38","If these were your only breakfast cereal options, which one would you choose to buy?...39","If these were your only breakfast cereal options, which one would you choose to buy?...40","If these were your only breakfast cereal options, which one would you choose to buy?...41","If these were your only breakfast cereal options, which one would you choose to buy?...42","If these were your only breakfast cereal options, which one would you choose to buy?...43","If these were your only breakfast cereal options, which one would you choose to buy?...44","If these were your only breakfast cereal options, which one would you choose to buy?...45","If these were your only breakfast cereal options, which one would you choose to buy?...46","If these were your only breakfast cereal options, which one would you choose to buy?...47","If these were your only breakfast cereal options, which one would you choose to buy?...48","If these were your only breakfast cereal options, which one would you choose to buy?...49","If these were your only breakfast cereal options, which one would you choose to buy?...50",Choice Task ExampleThis is an example of how to choose among 8 brands presented in sets of 4 produ...51,"Choice Task Example 2

 If these were your only options, which one would you choose to buy?","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions.","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...54","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...55","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...56","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...57","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...58","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...59","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...60","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...61","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...62","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...63","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...64","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...65","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...66","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...67","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...68","On a scale of 1 to 5, how much did you notice the labels on the cereal packages during the experiment? Where 5 means always and 1 means never....69",Choice Task ExampleThis is an example of how to choose among 8 brands presented in sets of 4 produ...70,"Choice Task Example 2

If these were your only options, which one would you choose to buy?...71","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...72","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...73","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...74","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...75","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...76","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...77","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...78","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...79","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...80","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...81","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...82","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...83","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...84","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...85","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...86","If these were your only breakfast cereal options, which one would you choose to buy? Food labelling instructions...87"
55-64,Absent,Female,White,"Higher or secondary or further education (A-levels, BTEC, etc.)","£20,001 - £30,000",Somewhat familiar,About half the time,Most of the time,16.05483333,No,Always,Yes,84,165,Yes,I agree to take part in this study.,Insufficient,2,4,6,1,8,4,7,6,1,0,0,12,2,14,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-54,Absent,Female,White,Post-graduate degree,"Above £40,000",Somewhat familiar,Most of the time,Always,3.5374,Yes,Always,Yes,56,153,Yes,I agree to take part in this study.,Neither sufficient nor insufficient,2,1,6,5,7,3,8,4,1,0,0,6,0,12,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-54,Coarse,Female,Other ethnic group,Post-graduate degree,Prefer not to say,Somewhat familiar,Always,Always,5.776466667,No,Always,Yes,50,160,Yes,I agree to take part in this study.,Somewhat sufficient,7,8,6,2,2,2,5,4,5,15,5,9,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM_1Gqff3vhc82647Q,IM_1Gqff3vhc82647Q,IM_26uPBkRfbvYlNtA,IM_26uPBkRfbvYlNtA,IM_26uPBkRfbvYlNtA,IM_5uvozsuUyMi5oiO,IM_87CKtqLPlGEpKyW,IM_87CKtqLPlGEpKyW,IM_87CKtqLPlGEpKyW,IM_87CKtqLPlGEpKyW,IM_26uPBkRfbvYlNtA,IM_9GG0vzD8syY5gZ8,IM_26uPBkRfbvYlNtA,IM_26uPBkRfbvYlNtA,IM_9GG0vzD8syY5gZ8,IM_9GG0vzD8syY5gZ8,IM_87CKtqLPlGEpKyW,IM_38z9sbBLDw2DZye,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65 and over,Absent,Female,White,Secondary school up to 16 years,"£30,001 - £40,000",Somewhat unfamiliar,Never,Sometimes,4.6993,No,About half the time,Yes,60,165,Yes,I agree to take part in this study.,Insufficient,1,2,7,3,8,4,3,5,0,2,0,7,3,8,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_6nGGAjM99GrIGwK,IM_e9a6CSGHqHCBcdU,IM_6nGGAjM99GrIGwK,IM_e9a6CSGHqHCBcdU,IM_3r4Nrp3TqC6BOlg,IM_e9a6CSGHqHCBcdU,IM_6nGGAjM99GrIGwK,IM_e9a6CSGHqHCBcdU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65 and over,Absent,Female,White,College or university,"Below £10,000",Somewhat unfamiliar,Most of the time,Most of the time,2.9743,No,Always,No,50,155,Yes,I agree to take part in this study.,Somewhat insufficient,1,2,6,6,7,4,8,3,0,0,0,3,NA,4,IM_3r4Nrp3TqC6BOlg,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,I would not choose any of them.,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_cUa2Sgw1Z4KERE2,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,IM_e9a6CSGHqHCBcdU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,Detailed,Male,White,College or university,"£10,001 -£20,000",Very familiar,About half the time,About half the time,7.174433333,Yes,Always,No,79,175,Yes,I agree to take part in this study.,Somewhat insufficient,1,2,2,6,8,5,6,6,7,10,0,16,10,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM_3QVmSWhfsMo1Png,IM_3QVmSWhfsMo1Png,IM_cvHHTjxvJJQ9Sei,IM_cvHHTjxvJJQ9Sei,IM_cvHHTjxvJJQ9Sei,IM_cvHHTjxvJJQ9Sei,IM_cvHHTjxvJJQ9Sei,IM_cvHHTjxvJJQ9Sei,IM_cvHHTjxvJJQ9Sei,IM_cvHHTjxvJJQ9Sei,IM_bD60xtkWv7LAzWu,IM_bD60xtkWv7LAzWu,IM_bD60xtkWv7LAzWu,IM_bD60xtkWv7LAzWu,IM_bD60xtkWv7LAzWu,IM_bD60xtkWv7LAzWu,IM_bD60xtkWv7LAzWu,IM_bD60xtkWv7LAzWu
55-64,Coarse,Female,White,College or university,"Above £40,000",Somewhat familiar,About half the time,About half the time,5.912633333,No,Always,Yes,80,157,Yes,I agree to take part in this study.,Somewhat insufficient,2,1,7,3,6,5,8,2,0,1,1,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM_1Gqff3vhc82647Q,IM_1Gqff3vhc82647Q,IM_5uvozsuUyMi5oiO,IM_5uvozsuUyMi5oiO,IM_5uvozsuUyMi5oiO,IM_26uPBkRfbvYlNtA,IM_5uvozsuUyMi5oiO,IM_5uvozsuUyMi5oiO,IM_5uvozsuUyMi5oiO,IM_5uvozsuUyMi5oiO,IM_1KZpRUO6kugeBJs,IM_1KZpRUO6kugeBJs,IM_1KZpRUO6kugeBJs,IM_1KZpRUO6kugeBJs,IM_1KZpRUO6kugeBJs,IM_1KZpRUO6kugeBJs,IM_1KZpRUO6kugeBJs,IM_1KZpRUO6kugeBJs,About half the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,Absent,Male,White,College or university,"Above £40,000",Very familiar,About half the time,About half the time,4.122116667,Yes,About half the time,No,84,185,Yes,I agree to take part in this study.,Somewhat sufficient,6,4,5,3,8,1,6,2,0,2,0,0,1,5,IM_3r4Nrp3TqC6BOlg,IM_3r4Nrp3TqC6BOlg,IM_882CtF42zwvUZv0,IM_dgaZUlSdxdpoDbM,IM_3r4Nrp3TqC6BOlg,IM_3r4Nrp3TqC6BOlg,IM_6nGGAjM99GrIGwK,IM_dgaZUlSdxdpoDbM,IM_3r4Nrp3TqC6BOlg,IM_3r4Nrp3TqC6BOlg,IM_882CtF42zwvUZv0,IM_dgaZUlSdxdpoDbM,IM_3r4Nrp3TqC6BOlg,IM_3r4Nrp3TqC6BOlg,IM_6nGGAjM99GrIGwK,IM_dgaZUlSdxdpoDbM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-34,Absent,Male,White,College or university,"Above £40,000",Very familiar,Sometimes,Sometimes,4.645133333,Yes,Most of the time,Yes,94,180,Yes,I agree to take part in this study.,Insufficient,2,6,7,3,3,4,8,1,0,0,1,0,0,12,IM_3r4Nrp3TqC6BOlg,IM_cUa2Sgw1Z4KERE2,IM_6nGGAjM99GrIGwK,IM_dgaZUlSdxdpoDbM,IM_3r4Nrp3TqC6BOlg,I would not choose any of them.,IM_6nGGAjM99GrIGwK,IM_dgaZUlSdxdpoDbM,IM_6nGGAjM99GrIGwK,IM_e9a6CSGHqHCBcdU,IM_6nGGAjM99GrIGwK,IM_e9a6CSGHqHCBcdU,IM_6nGGAjM99GrIGwK,IM_e9a6CSGHqHCBcdU,IM_6nGGAjM99GrIGwK,IM_e9a6CSGHqHCBcdU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-54,Detailed,Female,White,"Higher or secondary or further education (A-levels, BTEC, etc.)","Above £40,000",Somewhat familiar,Most of the time,Always,7.301433333,No,Always,Yes,100,157,Yes,I agree to take part in this study.,Somewhat insufficient,8,1,4,1,6,2,7,4,0,1,0,6,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM_3QVmSWhfsMo1Png,IM_3QVmSWhfsMo1Png,IM_7UlNvrv1Fpncje6,IM_7UlNvrv1Fpncje6,IM_7UlNvrv1Fpncje6,IM_7UlNvrv1Fpncje6,IM_cCQp6UJg0Ly2YSO,IM_cCQp6UJg0Ly2YSO,IM_cvHHTjxvJJQ9Sei,IM_cvHHTjxvJJQ9Sei,IM_7UlNvrv1Fpncje6,IM_7UlNvrv1Fpncje6,IM_8e2MDrjUVIOJZci,IM_7UlNvrv1Fpncje6,IM_cCQp6UJg0Ly2YSO,IM_cCQp6UJg0Ly2YSO,IM_0cTjPIwPK25YKai,IM_bD60xtkWv7LAzWu
